frequency_inverse_angstrom,two_states_amplitude,gaussian_amplitude
1.874999999999999931e-02,9.569403357322088244e-01,9.726234580666927032e-01
1.937499999999999986e-02,9.540444024062804118e-01,9.707952910612398512e-01
2.000000000000000042e-02,9.510565162951535312e-01,9.689107911912967497e-01
2.062500000000000097e-02,9.479769653775104166e-01,9.669703000677931648e-01
2.125000000000000153e-02,9.448060464668780467e-01,9.649741689788955412e-01
2.187500000000000208e-02,9.415440651830208063e-01,9.629227587840398783e-01
2.249999999999999917e-02,9.381913359224841598e-01,9.608164398052322364e-01
2.312499999999999972e-02,9.347481818282924459e-01,9.586555917156603934e-01
2.375000000000000028e-02,9.312149347588035697e-01,9.564406034256660583e-01
2.437500000000000083e-02,9.275919352557240316e-01,9.541718729661231579e-01
2.500000000000000139e-02,9.238795325112867385e-01,9.518498073692734929e-01
2.562500000000000194e-02,9.200780843345949256e-01,9.494748225470679426e-01
2.624999999999999903e-02,9.161879571171359649e-01,9.470473431670648479e-01
2.687499999999999958e-02,9.122095257974677240e-01,9.445678025259369726e-01
2.750000000000000014e-02,9.081431738250812513e-01,9.420366424206405576e-01
2.812500000000000069e-02,9.039892931234433382e-01,9.394543130172990919e-01
2.875000000000000125e-02,8.997482840522215142e-01,9.368212727178572008e-01
2.937500000000000180e-02,8.954205553686969132e-01,9.341379880245584966e-01
2.999999999999999889e-02,8.910065241883678988e-01,9.314049334023055682e-01
3.062499999999999944e-02,8.865066159447464456e-01,9.286225911389566212e-01
3.125000000000000000e-02,8.819212643483550496e-01,9.257914512036180543e-01
3.187500000000000056e-02,8.772509113449241669e-01,9.229120111029903706e-01
3.250000000000000111e-02,8.724960070727971750e-01,9.199847757358261546e-01
3.312500000000000167e-02,8.676570098195439673e-01,9.170102572455604006e-01
3.375000000000000222e-02,8.627343859777918400e-01,9.139889748711729212e-01
3.437500000000000278e-02,8.577286100002720071e-01,9.109214547963431219e-01
3.500000000000000333e-02,8.526401643540921782e-01,9.078082299969592039e-01
3.562500000000000389e-02,8.474695394742344234e-01,9.046498400870429668e-01
3.624999999999999750e-02,8.422172337162865396e-01,9.014468311631528286e-01
3.687499999999999806e-02,8.368837533084093616e-01,8.981997556473273470e-01
3.749999999999999861e-02,8.314696123025452357e-01,8.949091721286326351e-01
3.812499999999999917e-02,8.259753325248732070e-01,8.915756452033776203e-01
3.874999999999999972e-02,8.204014435255135851e-01,8.881997453140594301e-01
3.937500000000000028e-02,8.147484825274894371e-01,8.847820485871048524e-01
4.000000000000000083e-02,8.090169943749474513e-01,8.813231366694712632e-01
4.062500000000000139e-02,8.032075314806449429e-01,8.778235965641719707e-01
4.125000000000000194e-02,7.973206537727071108e-01,8.742840204647904789e-01
4.187500000000000250e-02,7.913569286406602066e-01,8.707050055890501739e-01
4.250000000000000305e-02,7.853169308807449456e-01,8.670871540115018261e-01
4.312500000000000361e-02,7.792012426405167114e-01,8.634310724953979665e-01
4.375000000000000416e-02,7.730104533627368824e-01,8.597373723238159737e-01
4.437499999999999778e-02,7.667451597285614984e-01,8.560066691300980413e-01
4.499999999999999833e-02,7.604059656000309309e-01,8.522395827276720848e-01
4.562499999999999889e-02,7.539934819618695494e-01,8.484367369393193137e-01
4.624999999999999944e-02,7.475083268625968280e-01,8.445987594259547482e-01
4.687500000000000000e-02,7.409511253549591059e-01,8.407262815149845192e-01
4.750000000000000056e-02,7.343225094356855553e-01,8.368199380283064537e-01
4.812500000000000111e-02,7.276231179845747965e-01,8.328803671100192263e-01
4.875000000000000167e-02,7.208535967029188196e-01,8.289082100539035824e-01
4.937500000000000222e-02,7.140145980512682122e-01,8.249041111307419127e-01
5.000000000000000278e-02,7.071067811865475727e-01,8.208687174155399058e-01
5.062500000000000333e-02,7.001308118985235529e-01,8.168026786147148943e-01
5.125000000000000389e-02,6.930873625456358544e-01,8.127066468933143994e-01
5.187500000000000444e-02,6.859771119901927339e-01,8.085812767023290437e-01
5.249999999999999806e-02,6.788007455329417850e-01,8.044272246061628939e-01
5.312499999999999861e-02,6.715589548470184411e-01,8.002451491103235170e-01
5.374999999999999917e-02,6.642524379112817456e-01,7.960357104893962532e-01
5.437499999999999972e-02,6.568818989430413868e-01,7.917995706153616586e-01
5.500000000000000028e-02,6.494480483301836582e-01,7.875373927863202894e-01
5.562500000000000083e-02,6.419516025627031164e-01,7.832498415556850002e-01
5.625000000000000139e-02,6.343932841636454878e-01,7.789375825619011540e-01
5.687500000000000194e-02,6.267738216194694845e-01,7.746012823587548057e-01
5.750000000000000250e-02,6.190939493098339685e-01,7.702416082463284797e-01
5.812500000000000305e-02,6.113544074368164605e-01,7.658592281026633808e-01
5.875000000000000361e-02,6.035559419535713177e-01,7.614548102161859955e-01
5.937500000000000416e-02,5.956993044924333569e-01,7.570290231189567010e-01
5.999999999999999778e-02,5.877852522924731371e-01,7.525825354207973383e-01
6.062499999999999833e-02,5.798145481265137846e-01,7.481160156443542597e-01
6.124999999999999889e-02,5.717879602276122464e-01,7.436301320611508059e-01
6.187499999999999944e-02,5.637062622150167401e-01,7.391255525286862804e-01
6.250000000000000000e-02,5.555702330196022887e-01,7.346029443286333782e-01
6.312500000000000056e-02,5.473806568087965507e-01,7.300629740061872486e-01
6.375000000000000111e-02,5.391383229110001674e-01,7.255063072106204825e-01
