frequency_inverse_angstrom,two_states_amplitude,gaussian_amplitude
2.393750000000000044e-01,8.147484825274895481e-01,1.084276219955892899e-02
2.399999999999999911e-01,8.090169943749475623e-01,1.058927367107233980e-02
2.406250000000000056e-01,8.032075314806449429e-01,1.034107343874351992e-02
2.412499999999999922e-01,7.973206537727074439e-01,1.009806781176326648e-02
2.418750000000000067e-01,7.913569286406602066e-01,9.860164348184844926e-03
2.424999999999999933e-01,7.853169308807451676e-01,9.627271848116562836e-03
2.431250000000000078e-01,7.792012426405166003e-01,9.399300346695877925e-03
2.437499999999999944e-01,7.730104533627371044e-01,9.176161106852997323e-03
2.443750000000000089e-01,7.667451597285616094e-01,8.957766611871219309e-03
2.449999999999999956e-01,7.604059656000310419e-01,8.744030557752083960e-03
2.456250000000000100e-01,7.539934819618695494e-01,8.534867845392115487e-03
2.462499999999999967e-01,7.475083268625968280e-01,8.330194572579155063e-03
2.468750000000000111e-01,7.409511253549591059e-01,8.129928025814935066e-03
2.474999999999999978e-01,7.343225094356857774e-01,7.933986671971480706e-03
2.481250000000000122e-01,7.276231179845747965e-01,7.742290149788085343e-03
2.487499999999999989e-01,7.208535967029189306e-01,7.554759261216017867e-03
2.493750000000000133e-01,7.140145980512681012e-01,7.371315962617559260e-03
2.500000000000000000e-01,7.071067811865476838e-01,7.191883355826367979e-03
